order_id,order_date,book_id,quantity,customer_id,genre,sale_price
152082,11.04.2018,692,1,739559,fiction,584
323072,11.04.2018,635,1,567502,genre fiction,259
472214,11.04.2018,687,1,217135,genre fiction,194
505092,11.04.2018,688,1,690951,genre fiction,64
505092,11.04.2018,763,1,690951,children,389
520325,11.04.2018,757,1,89695,nonfiction,259
585676,11.04.2018,590,1,82957,genre fiction,341
585676,11.04.2018,612,1,82957,genre fiction,194
585676,11.04.2018,888,1,82957,genre fiction,486
691094,11.04.2018,625,1,556227,genre fiction,449
691094,11.04.2018,653,1,556227,genre fiction,64
691094,11.04.2018,693,1,556227,genre fiction,194
695393,11.04.2018,499,1,544908,genre fiction,129
695393,11.04.2018,607,1,544908,genre fiction,194
695393,11.04.2018,627,2,544908,genre fiction,746
791460,11.04.2018,57,1,433231,genre fiction,64
791460,11.04.2018,578,1,433231,genre fiction,714
791460,11.04.2018,691,1,433231,genre fiction,194
791460,11.04.2018,692,1,433231,fiction,584
791460,11.04.2018,723,1,433231,genre fiction,194
791460,11.04.2018,858,2,433231,genre fiction,584
840389,11.04.2018,433,1,465129,genre fiction,259
893896,11.04.2018,714,1,250646,fiction,519
1183417,11.04.2018,775,1,262165,nonfiction,439
1247698,11.04.2018,4,1,44525,fiction,487
1284013,11.04.2018,577,1,20983,genre fiction,324
99466,12.04.2018,656,1,590075,nonfiction,498
99466,12.04.2018,704,1,590075,nonfiction,623
199805,12.04.2018,686,2,156851,nonfiction,196
316653,12.04.2018,527,1,135997,nonfiction,278
397907,12.04.2018,745,1,471659,genre fiction,129
479095,12.04.2018,724,1,381747,genre fiction,64
486574,12.04.2018,386,1,463355,genre fiction,324
486574,12.04.2018,559,1,463355,genre fiction,194
551015,12.04.2018,604,1,429898,fiction,194
551015,12.04.2018,727,1,429898,genre fiction,475
697737,12.04.2018,44,1,102337,genre fiction,389
697737,12.04.2018,601,2,102337,genre fiction,577
790535,12.04.2018,656,1,471259,nonfiction,498
790535,12.04.2018,687,1,471259,genre fiction,194
790535,12.04.2018,890,1,471259,nonfiction,259
871702,12.04.2018,661,1,294236,genre fiction,129
874521,12.04.2018,652,1,733317,genre fiction,64
